"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1800000;"PODKARPACKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Francja";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Indie";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Niemcy";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Rosja";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Ukraina";"2011";971;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Włochy";"2011";107;"osoba";"";
2000000;"PODLASKIE";"ogółem";"bezpaństwowcy";"2011";44;"osoba";"";
2000000;"PODLASKIE";"ogółem";"obywatelstwo nieustalone";"2011";200;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Armenia";"2011";103;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Austria";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Białoruś";"2011";958;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Francja";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Indie";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Niemcy";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Rosja";"2011";284;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Ukraina";"2011";138;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
2000000;"PODLASKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
